TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,07XX,3,,XA,1220,3302,378,125,1.0,X,1,2020
1,AK,20XX,3,,XA,1220,133362,137,1563,1.0,X,1,2020
1,AK,20XX,3,,XA,1220,49960,66,2631,2.0,X,1,2020
1,AK,20XX,3,,XC,1220,21184,3418,795,1.0,X,1,2020
1,AK,20XX,3,,XM,1220,4253,2,75,1.0,X,1,2020
1,AK,20XX,3,,XO,1220,26587,413,555,1.0,X,1,2020
1,AK,20XX,3,,XO,1220,128192,5193,266,2.0,X,1,2020
1,AK,20XX,3,,XQ,1220,4597,526,482,1.0,X,1,2020
1,AK,20XX,3,XX,,2010,2970,1,0,1.0,0,1,2020
1,AK,2304,5,CM,,2010,125986,0,0,1.0,0,1,2020
1,AK,2304,5,CM,,2010,161281,0,0,2.0,0,1,2020
1,AK,2304,5,CO,,2010,20693,0,0,1.0,0,1,2020
1,AK,2304,5,DF,,2010,221080,0,0,1.0,0,1,2020
1,AK,2304,5,DG,,2010,6431,0,0,1.0,0,1,2020
1,AK,2304,5,JA,,2010,9213,0,0,1.0,0,1,2020
1,AK,2304,5,MX,,2010,205019,0,0,1.0,0,1,2020
1,AK,2304,5,MX,,2010,6267,0,0,2.0,0,1,2020
1,AK,2304,5,NL,,2010,70880,0,0,1.0,0,1,2020
1,AK,2304,5,PU,,2010,46115,0,0,1.0,0,1,2020
1,AK,2304,5,QT,,2010,37359,0,0,1.0,0,1,2020
1,AK,2304,5,QT,,2010,4040,0,0,2.0,0,1,2020
1,AK,2304,5,SL,,2010,55262,0,0,2.0,0,1,2020
1,AK,2304,5,TL,,2010,32804,0,0,1.0,0,1,2020
1,AK,2304,5,TL,,2010,147425,0,0,2.0,0,1,2020
1,AK,2506,5,BC,,2010,34800,0,0,1.0,0,1,2020
1,AK,2604,5,SO,,2010,91302,0,0,1.0,1,1,2020
1,AK,3004,5,,XC,1220,970111,0,25180,1.0,X,1,2020
1,AK,3004,5,,XC,1220,102518,0,1675,2.0,X,1,2020
1,AK,3023,5,,XC,1220,46225,0,1328,1.0,X,1,2020
1,AK,30XX,3,,XC,1220,102062,369,766,1.0,X,1,2020
1,AK,30XX,3,,XQ,1220,2979,236,40,1.0,X,1,2020
1,AK,3101,5,,XC,1220,2576,0,56,1.0,X,1,2020
1,AK,3103,5,,XC,1220,4279521,0,202274,1.0,X,1,2020
1,AK,3104,5,,XY,1220,376055,0,8881,1.0,X,1,2020
1,AK,3104,5,,XY,1220,84087,0,1599,2.0,X,1,2020
1,AK,3106,5,,XC,1220,976978,0,49880,1.0,X,1,2020
1,AK,31XX,1,,XC,1220,436169,1483515,4318,1.0,X,1,2020
1,AK,31XX,1,XX,,2010,20072,45682699,0,1.0,0,1,2020
1,AK,31XX,3,,XC,1220,106833,136,9636,1.0,X,1,2020
1,AK,3310,5,,XA,1220,6388,0,125,1.0,X,1,2020
1,AK,3401,5,,XC,1220,3040,0,59,1.0,X,1,2020
1,AK,3401,5,,XM,1220,12272,0,365,1.0,X,1,2020
1,AK,3403,5,,XS,1220,60216,0,1537,1.0,X,1,2020
1,AK,3801,5,,XO,1220,7729,0,151,2.0,X,1,2020
1,AK,3802,5,,XO,1220,42220,0,968,1.0,X,1,2020
1,AK,3802,5,,XY,1220,58886,0,66,1.0,X,1,2020
1,AK,3802,5,,XY,1220,3293,0,3,2.0,X,1,2020
1,AK,4101,3,,XO,1220,6770,5,132,1.0,X,1,2020
1,AK,41XX,3,XX,,2010,5420,1,0,1.0,0,1,2020
1,AK,5201,1,,XC,1220,1503676,559090,14888,1.0,X,1,2020
1,AK,70XX,5,,XC,1220,12985,0,457,1.0,X,1,2020
1,AK,70XX,8,,XA,1220,1342,0,41,1.0,X,1,2020
1,AK,70XX,8,,XC,1220,9554,0,393,1.0,X,1,2020
1,AK,70XX,8,,XM,1220,2371,0,76,2.0,X,1,2020
1,AK,70XX,8,,XO,1220,16,0,1,1.0,X,1,2020
1,AK,70XX,8,,XQ,1220,2039,0,29,2.0,X,1,2020
1,AL,0106,5,,XB,1220,251599,0,7366,1.0,X,1,2020
1,AL,0109,5,,XB,1220,17651,0,1123,1.0,X,1,2020
1,AL,0115,5,,XB,1220,117989,0,8964,1.0,X,1,2020
1,AL,0115,5,,XB,1220,810754,0,1408,2.0,X,1,2020
1,AL,0115,5,,XQ,1220,4533,0,0,1.0,X,1,2020
1,AL,0211,5,,XQ,1220,57817,0,1132,1.0,X,1,2020
1,AL,04XX,3,XX,,2010,27360,148,0,1.0,0,1,2020
1,AL,0701,5,,XO,1220,74535,0,2634,1.0,X,1,2020
1,AL,0701,5,,XO,1220,3430,0,306,2.0,X,1,2020
1,AL,0708,5,,XO,1220,8078222,0,56732,1.0,X,1,2020
1,AL,0708,5,,XO,1220,22506,0,1785,2.0,X,1,2020
1,AL,0708,5,,XQ,1220,357346,0,1493,1.0,X,1,2020
1,AL,0712,5,,XC,1220,28407,0,3437,1.0,X,1,2020
1,AL,0712,5,,XO,1220,22435,0,525,1.0,X,1,2020
1,AL,0712,5,,XO,1220,5108,0,100,2.0,X,1,2020
1,AL,0712,5,,XQ,1220,4633473,0,65301,1.0,X,1,2020
1,AL,0712,5,,XQ,1220,1488742,0,11128,2.0,X,1,2020
1,AL,0712,6,,XQ,1220,91973,0,3438,1.0,X,1,2020
1,AL,07XX,3,,XA,1220,3789,39,116,1.0,X,1,2020
1,AL,07XX,3,,XQ,1220,5273,68,103,1.0,X,1,2020
1,AL,07XX,3,,XQ,1220,146172,562,678,2.0,X,1,2020
1,AL,0901,5,,XO,1220,17536595,0,252786,1.0,X,1,2020
1,AL,0901,5,,XO,1220,528007,0,10992,2.0,X,1,2020
1,AL,0901,6,,XO,1220,806041,0,29560,1.0,X,1,2020
1,AL,17XX,1,XX,,2010,6650115,414680,0,1.0,0,1,2020
1,AL,17XX,3,XX,,2010,29000,57,0,1.0,0,1,2020
1,AL,17XX,3,XX,,2010,6873,62,0,2.0,0,1,2020
1,AL,17XX,3,XX,,2010,9828,92,0,2.0,1,1,2020
1,AL,18XX,1,XX,,2010,363000,965625,0,1.0,0,1,2020
1,AL,18XX,1,XX,,2010,6784,330,0,1.0,1,1,2020
1,AL,19XX,1,,XW,1220,3859827,500000,1910,2.0,X,1,2020
1,AL,19XX,1,XX,,2010,15206169,15678554,0,1.0,0,1,2020
1,AL,19XX,1,XX,,2010,3137731,7382816,0,1.0,1,1,2020
1,AL,19XX,1,XX,,2010,586302,1547770,0,2.0,0,1,2020
1,AL,19XX,3,XX,,2010,6569,17,0,1.0,0,1,2020
1,AL,19XX,8,,XO,1220,289396,0,9867,1.0,X,1,2020
1,AL,2006,3,,XM,1220,17445,2,49,1.0,X,1,2020
1,AL,20XX,3,,XA,1220,756542,2863,8688,1.0,X,1,2020
1,AL,20XX,3,,XA,1220,126704,163,1887,2.0,X,1,2020
1,AL,20XX,3,,XC,1220,115660,1739,1350,1.0,X,1,2020
1,AL,20XX,3,,XC,1220,32598,81,558,2.0,X,1,2020
1,AL,20XX,3,,XM,1220,10922,287,75,1.0,X,1,2020
1,AL,20XX,3,,XO,1220,1173088,2971,6780,1.0,X,1,2020
1,AL,20XX,3,,XO,1220,510945,528,2234,2.0,X,1,2020
1,AL,20XX,3,,XQ,1220,2922380,8133,11568,1.0,X,1,2020
1,AL,20XX,3,,XQ,1220,1154566,7101,4835,2.0,X,1,2020
1,AL,20XX,3,XX,,2010,1236937,3177,0,1.0,0,1,2020
1,AL,20XX,3,XX,,2010,14004,300,0,2.0,0,1,2020
1,AL,20XX,8,,XA,1220,123830,0,399,1.0,X,1,2020
1,AL,2301,5,CO,,2010,72199,0,0,1.0,0,1,2020
1,AL,2301,5,DF,,2010,144667,0,0,1.0,0,1,2020
1,AL,2301,5,OT,,2010,160390,0,0,1.0,0,1,2020
1,AL,2301,5,TM,,2010,28146,0,0,1.0,0,1,2020
1,AL,2301,5,ZA,,2010,283060,0,0,1.0,0,1,2020
1,AL,2301,5,ZA,,2010,49622,0,0,2.0,0,1,2020
1,AL,2301,6,GT,,2010,50400,0,0,1.0,0,1,2020
1,AL,2301,6,NL,,2010,15056,0,0,1.0,0,1,2020
1,AL,2301,8,TM,,2010,18339,0,0,1.0,X,1,2020
1,AL,2302,5,CO,,2010,148508,0,0,1.0,0,1,2020
1,AL,2303,5,CO,,2010,497677,0,0,1.0,0,1,2020
1,AL,2303,5,DG,,2010,258493,0,0,1.0,0,1,2020
1,AL,2303,5,HG,,2010,32135,0,0,1.0,0,1,2020
1,AL,2303,5,NL,,2010,8359,0,0,1.0,0,1,2020
1,AL,2303,5,SO,,2010,12596,0,0,1.0,0,1,2020
1,AL,2303,6,CO,,2010,4172682,0,0,1.0,0,1,2020
1,AL,2303,6,MX,,2010,217650,0,0,1.0,0,1,2020
1,AL,2303,6,NL,,2010,33440,0,0,1.0,0,1,2020
1,AL,2304,3,XX,,2010,6419,1442,0,1.0,0,1,2020
1,AL,2304,5,AG,,2010,2294141,0,0,1.0,0,1,2020
1,AL,2304,5,AG,,2010,1075678,0,0,2.0,0,1,2020
1,AL,2304,5,BC,,2010,4492,0,0,1.0,0,1,2020
1,AL,2304,5,CH,,2010,187796,0,0,1.0,0,1,2020
1,AL,2304,5,CM,,2010,65386,0,0,1.0,0,1,2020
1,AL,2304,5,CM,,2010,23857,0,0,2.0,0,1,2020
1,AL,2304,5,CO,,2010,2001906,0,0,1.0,0,1,2020
1,AL,2304,5,CO,,2010,569549,0,0,1.0,1,1,2020
1,AL,2304,5,CO,,2010,134114,0,0,2.0,0,1,2020
1,AL,2304,5,DF,,2010,729254,0,0,1.0,0,1,2020
1,AL,2304,5,DF,,2010,226169,0,0,2.0,0,1,2020
1,AL,2304,5,DG,,2010,142604,0,0,1.0,0,1,2020
1,AL,2304,5,GT,,2010,6462312,0,0,1.0,0,1,2020
1,AL,2304,5,GT,,2010,531172,0,0,2.0,0,1,2020
1,AL,2304,5,HG,,2010,177049,0,0,1.0,0,1,2020
1,AL,2304,5,JA,,2010,255820,0,0,1.0,0,1,2020
1,AL,2304,5,JA,,2010,7524,0,0,2.0,0,1,2020
1,AL,2304,5,MI,,2010,135819,0,0,1.0,0,1,2020
1,AL,2304,5,MI,,2010,147965,0,0,2.0,0,1,2020
1,AL,2304,5,MO,,2010,186851,0,0,1.0,0,1,2020
1,AL,2304,5,MX,,2010,8860730,0,0,1.0,0,1,2020
1,AL,2304,5,MX,,2010,60229,0,0,1.0,1,1,2020
1,AL,2304,5,MX,,2010,285121,0,0,2.0,0,1,2020
1,AL,2304,5,NL,,2010,26912525,0,0,1.0,0,1,2020
1,AL,2304,5,NL,,2010,886526,0,0,1.0,1,1,2020
1,AL,2304,5,NL,,2010,630135,0,0,2.0,0,1,2020
1,AL,2304,5,OT,,2010,568227,0,0,1.0,0,1,2020
1,AL,2304,5,OT,,2010,22111,0,0,1.0,1,1,2020
1,AL,2304,5,OT,,2010,18229,0,0,2.0,0,1,2020
1,AL,2304,5,PU,,2010,666542,0,0,1.0,0,1,2020
1,AL,2304,5,PU,,2010,1798045,0,0,1.0,1,1,2020
1,AL,2304,5,PU,,2010,6123,0,0,2.0,0,1,2020
1,AL,2304,5,QT,,2010,2169420,0,0,1.0,0,1,2020
1,AL,2304,5,QT,,2010,1117600,0,0,1.0,1,1,2020
1,AL,2304,5,QT,,2010,71353,0,0,2.0,0,1,2020
1,AL,2304,5,SL,,2010,2463226,0,0,1.0,0,1,2020
1,AL,2304,5,SL,,2010,94020,0,0,2.0,0,1,2020
1,AL,2304,5,TM,,2010,305671,0,0,1.0,0,1,2020
1,AL,2304,5,TM,,2010,237196,0,0,2.0,0,1,2020
1,AL,2304,5,VE,,2010,35756,0,0,1.0,0,1,2020
1,AL,2304,5,ZA,,2010,205492,0,0,1.0,0,1,2020
1,AL,2304,6,CH,,2010,313069,0,0,1.0,0,1,2020
1,AL,2304,6,CO,,2010,459904,0,0,1.0,0,1,2020
1,AL,2304,6,GT,,2010,1625461,0,0,1.0,0,1,2020
1,AL,2304,6,HG,,2010,2623440,0,0,1.0,0,1,2020
1,AL,2304,6,JA,,2010,31344,0,0,1.0,0,1,2020
1,AL,2304,6,MX,,2010,2323868,0,0,1.0,0,1,2020
1,AL,2304,6,NL,,2010,2846647,0,0,1.0,0,1,2020
1,AL,2304,6,NL,,2010,2088937,0,0,1.0,1,1,2020
1,AL,2304,6,NL,,2010,65875,0,0,2.0,1,1,2020
1,AL,2304,6,PU,,2010,4390,0,0,1.0,1,1,2020
1,AL,2304,6,QT,,2010,3932800,0,0,1.0,0,1,2020
1,AL,2304,6,QT,,2010,119440,0,0,1.0,1,1,2020
1,AL,2304,6,SL,,2010,51949,0,0,1.0,0,1,2020
1,AL,2304,6,TL,,2010,178340,0,0,1.0,0,1,2020
1,AL,2304,6,VE,,2010,93295,0,0,1.0,0,1,2020
1,AL,2304,8,CM,,2010,3365,0,0,1.0,X,1,2020
1,AL,2304,8,CO,,2010,7055,0,0,1.0,X,1,2020
1,AL,2304,8,JA,,2010,52127,0,0,1.0,X,1,2020
1,AL,2304,8,MX,,2010,4448,0,0,1.0,X,1,2020
1,AL,2304,8,OT,,2010,5066,0,0,1.0,X,1,2020
1,AL,2304,8,QT,,2010,24397,0,0,1.0,X,1,2020
1,AL,2304,8,TM,,2010,119055,0,0,1.0,X,1,2020
1,AL,2304,8,TM,,2010,5799,0,0,2.0,X,1,2020
1,AL,2305,5,JA,,2010,14920,0,0,1.0,0,1,2020
1,AL,2305,5,NL,,2010,3468,0,0,2.0,0,1,2020
1,AL,2305,5,QT,,2010,28495,0,0,2.0,0,1,2020
