TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,2,5,,XO,1220,48405,0,949,1.0,X,7,2020
1,AK,2,5,QT,,2010,14515,0,0,1.0,0,7,2020
1,AK,3,1,,XB,1220,210842,49397,2890,1.0,X,7,2020
1,AK,3,5,,XC,1220,2723489,0,58883,1.0,X,7,2020
1,AK,3,5,,XC,1220,8757,0,311,2.0,X,7,2020
1,AK,3,5,,XO,1220,78170,0,3704,1.0,X,7,2020
1,AK,3,5,,XY,1220,6762654,0,120938,1.0,X,7,2020
1,AK,11,5,,XC,1220,6042,0,66,1.0,X,7,2020
1,AK,15,3,,XC,1220,49798,7785,712,1.0,X,7,2020
1,AK,19,5,,XC,1220,2977,0,25,1.0,X,7,2020
1,AK,23,5,,XC,1220,189922,0,1258,1.0,X,7,2020
1,AK,25,5,,XO,1220,6776,0,97,1.0,X,7,2020
1,AK,26,1,,XC,1220,45059435,32431000,74089,1.0,X,7,2020
1,AK,27,5,,XC,1220,2966911,0,58106,1.0,X,7,2020
1,AK,27,5,NL,,2010,9823,0,0,1.0,0,7,2020
1,AK,31,5,SI,,2010,19740,0,0,1.0,0,7,2020
1,AK,34,5,MX,,2010,25771,0,0,2.0,0,7,2020
1,AK,38,5,,XO,1220,83253,0,3334,1.0,X,7,2020
1,AK,38,5,,XY,1220,47868,0,938,1.0,X,7,2020
1,AK,38,5,JA,,2010,8268,0,0,1.0,0,7,2020
1,AK,39,5,MX,,2010,3329,0,0,1.0,0,7,2020
1,AK,39,5,QT,,2010,10896,0,0,1.0,0,7,2020
1,AK,39,5,TL,,2010,9626,0,0,2.0,0,7,2020
1,AK,40,3,,XA,1220,3747,794,73,1.0,X,7,2020
1,AK,40,3,,XC,1220,3748,33,74,1.0,X,7,2020
1,AK,42,5,TL,,2010,27835,0,0,2.0,0,7,2020
1,AK,44,1,,XC,1220,1881050,8535205,18622,1.0,X,7,2020
1,AK,44,5,,XC,1220,9231,0,180,1.0,X,7,2020
1,AK,44,5,,XO,1220,9740,0,1232,1.0,X,7,2020
1,AK,44,5,BC,,2010,8468,0,0,1.0,0,7,2020
1,AK,44,6,,XO,1220,21808,0,2758,1.0,X,7,2020
1,AK,59,5,TL,,2010,25380,0,0,2.0,0,7,2020
1,AK,61,5,BC,,2010,34904,0,0,1.0,0,7,2020
1,AK,63,3,,XA,1220,2761,315,5,1.0,X,7,2020
1,AK,63,3,,XM,1220,12378,1428,468,1.0,X,7,2020
1,AK,63,3,,XO,1220,6864,785,513,1.0,X,7,2020
1,AK,63,3,,XQ,1220,21659,2476,2116,1.0,X,7,2020
1,AK,63,5,,XQ,1220,12182,0,461,1.0,X,7,2020
1,AK,70,5,JA,,2010,4807,0,0,1.0,0,7,2020
1,AK,72,5,CO,,2010,7065,0,0,1.0,0,7,2020
1,AK,82,5,,XA,1220,3134,0,61,1.0,X,7,2020
1,AK,83,5,CM,,2010,7744,0,0,1.0,0,7,2020
1,AK,83,5,CM,,2010,11152,0,0,2.0,0,7,2020
1,AK,84,3,,XC,1220,6781,62,131,1.0,X,7,2020
1,AK,84,3,,XQ,1220,42217,230,37,2.0,X,7,2020
1,AK,84,3,XX,,2010,6101,1,0,1.0,0,7,2020
1,AK,84,5,,XA,1220,36630,0,889,1.0,X,7,2020
1,AK,84,5,,XY,1220,164228,0,15,1.0,X,7,2020
1,AK,84,5,,XY,1220,344267,0,6748,2.0,X,7,2020
1,AK,84,5,CM,,2010,65867,0,0,2.0,0,7,2020
1,AK,84,5,MX,,2010,5024,0,0,2.0,0,7,2020
1,AK,84,5,SL,,2010,44147,0,0,1.0,0,7,2020
1,AK,84,5,SL,,2010,21166,0,0,2.0,0,7,2020
1,AK,85,3,,XC,1220,7201,1,133,2.0,X,7,2020
1,AK,85,3,XX,,2010,4547,4,0,2.0,0,7,2020
1,AK,85,5,,XC,1220,28402,0,1107,2.0,X,7,2020
1,AK,85,5,,XO,1220,12164,0,238,1.0,X,7,2020
1,AK,85,5,CM,,2010,5213,0,0,2.0,0,7,2020
1,AK,85,5,DF,,2010,59500,0,0,1.0,0,7,2020
1,AK,85,5,GT,,2010,6739,0,0,1.0,0,7,2020
1,AK,85,5,MX,,2010,8637,0,0,1.0,0,7,2020
1,AK,85,5,MX,,2010,2530,0,0,2.0,0,7,2020
1,AK,85,5,NL,,2010,187542,0,0,2.0,0,7,2020
1,AK,85,5,QT,,2010,14008,0,0,2.0,0,7,2020
1,AK,85,5,TB,,2010,43200,0,0,1.0,0,7,2020
1,AK,87,5,PU,,2010,50919,0,0,1.0,0,7,2020
1,AK,88,3,,XA,1220,17983,93,110,1.0,X,7,2020
1,AK,88,3,,XC,1220,108016,603,7813,1.0,X,7,2020
1,AK,88,3,,XO,1220,61626,59,148,1.0,X,7,2020
1,AK,88,3,,XQ,1220,7399,52,218,1.0,X,7,2020
1,AK,88,3,XX,,2010,5207,35,0,1.0,0,7,2020
1,AK,88,5,,XC,1220,639677,0,12460,1.0,X,7,2020
1,AK,88,5,,XO,1220,11163,0,91,1.0,X,7,2020
1,AK,89,5,,XC,1220,6551,0,100,2.0,X,7,2020
1,AK,90,3,,XA,1220,5430,7,14,1.0,X,7,2020
1,AK,90,3,,XA,1220,2590,16,74,2.0,X,7,2020
1,AK,90,3,,XO,1220,8096,2,158,1.0,X,7,2020
1,AK,90,3,,XO,1220,6967,18,136,2.0,X,7,2020
1,AK,90,3,XX,,2010,4043,11,0,2.0,0,7,2020
1,AK,90,5,,XY,1220,55038,0,18,2.0,X,7,2020
1,AK,90,5,DF,,2010,40287,0,0,1.0,0,7,2020
1,AK,94,3,,XQ,1220,9128,418,222,1.0,X,7,2020
1,AK,94,5,MX,,2010,11769,0,0,1.0,0,7,2020
1,AK,94,5,MX,,2010,77017,0,0,2.0,0,7,2020
1,AK,94,5,TL,,2010,142651,0,0,2.0,0,7,2020
1,AK,96,5,CM,,2010,2714,0,0,2.0,0,7,2020
1,AK,98,8,,XA,1220,214,0,0,1.0,X,7,2020
1,AK,98,8,,XC,1220,14,0,0,1.0,X,7,2020
1,AK,98,8,,XO,1220,2107,0,74,1.0,X,7,2020
1,AK,98,8,,XQ,1220,1341,0,88,1.0,X,7,2020
1,AL,1,3,XX,,2010,1073693,1947,0,1.0,0,7,2020
1,AL,1,5,,XO,1220,81862,0,879,1.0,X,7,2020
1,AL,2,5,,XO,1220,888456,0,12127,1.0,X,7,2020
1,AL,2,5,CO,,2010,90176,0,0,1.0,0,7,2020
1,AL,2,5,GT,,2010,48353,0,0,1.0,0,7,2020
1,AL,2,5,NL,,2010,59153,0,0,1.0,0,7,2020
1,AL,3,5,,XO,1220,35441,0,1644,1.0,X,7,2020
1,AL,3,5,,XQ,1220,5018,0,154,1.0,X,7,2020
1,AL,3,5,NL,,2010,64439,0,0,1.0,0,7,2020
1,AL,4,3,XX,,2010,590650,23025,0,1.0,0,7,2020
1,AL,4,5,,XC,1220,110455,0,3441,1.0,X,7,2020
1,AL,4,5,GT,,2010,382500,0,0,1.0,0,7,2020
1,AL,4,5,QT,,2010,520000,0,0,1.0,0,7,2020
1,AL,5,5,,XB,1220,3703,0,72,1.0,X,7,2020
1,AL,5,5,,XO,1220,64765,0,3899,1.0,X,7,2020
1,AL,5,5,,XQ,1220,3864,0,75,1.0,X,7,2020
1,AL,6,5,,XO,1220,21095,0,413,1.0,X,7,2020
1,AL,7,5,,XO,1220,14247,0,549,1.0,X,7,2020
1,AL,9,5,,XA,1220,4777,0,402,1.0,X,7,2020
1,AL,9,6,,XO,1220,53571,0,1050,1.0,X,7,2020
1,AL,11,1,XX,,2010,48369,89733,0,2.0,0,7,2020
1,AL,11,6,PU,,2010,43163,0,0,1.0,0,7,2020
1,AL,12,5,,XC,1220,103519,0,3704,1.0,X,7,2020
1,AL,12,6,,XC,1220,19499,0,74,1.0,X,7,2020
1,AL,12,8,DF,,2010,14080,0,0,1.0,X,7,2020
1,AL,12,8,MX,,2010,36784,0,0,1.0,X,7,2020
1,AL,15,5,,XC,1220,26411,0,1376,1.0,X,7,2020
1,AL,15,5,MX,,2010,97200,0,0,1.0,0,7,2020
1,AL,15,5,MX,,2010,12441,0,0,2.0,0,7,2020
1,AL,15,5,NL,,2010,129697,0,0,1.0,0,7,2020
1,AL,16,5,,XO,1220,623456,0,11978,1.0,X,7,2020
1,AL,16,5,,XS,1220,50306,0,3334,1.0,X,7,2020
1,AL,17,1,XX,,2010,341000,907527,0,1.0,0,7,2020
1,AL,17,1,XX,,2010,1109970,3079385,0,1.0,1,7,2020
1,AL,18,5,,XO,1220,93029,0,379,1.0,X,7,2020
1,AL,19,5,,XB,1220,84956,0,1667,1.0,X,7,2020
1,AL,19,5,,XC,1220,49124,0,2186,1.0,X,7,2020
1,AL,19,5,,XM,1220,39441,0,3446,1.0,X,7,2020
1,AL,19,5,,XO,1220,60049,0,2394,1.0,X,7,2020
1,AL,19,5,,XS,1220,73310,0,1198,1.0,X,7,2020
1,AL,19,5,NL,,2010,5590,0,0,2.0,0,7,2020
1,AL,20,5,,XC,1220,24710,0,1176,1.0,X,7,2020
1,AL,20,5,,XO,1220,163534,0,7780,1.0,X,7,2020
1,AL,21,5,,XO,1220,71938,0,1481,1.0,X,7,2020
1,AL,23,5,,XO,1220,69933,0,1651,1.0,X,7,2020
1,AL,23,5,,XQ,1220,14186,0,277,1.0,X,7,2020
1,AL,23,6,,XA,1220,126511,0,2462,1.0,X,7,2020
1,AL,23,6,,XO,1220,101986,0,1994,1.0,X,7,2020
1,AL,23,6,,XQ,1220,136173,0,2667,1.0,X,7,2020
1,AL,25,5,,XM,1220,23922,0,468,2.0,X,7,2020
1,AL,25,5,,XO,1220,64007,0,1110,1.0,X,7,2020
1,AL,25,5,,XO,1220,22470,0,440,2.0,X,7,2020
1,AL,27,5,,XA,1220,41190,0,807,1.0,X,7,2020
1,AL,27,5,,XO,1220,136670,0,12834,1.0,X,7,2020
1,AL,27,5,,XO,1220,32236,0,1466,2.0,X,7,2020
1,AL,27,6,CO,,2010,1251835,0,0,1.0,0,7,2020
1,AL,27,6,HG,,2010,34401,0,0,1.0,0,7,2020
1,AL,27,6,NL,,2010,665091,0,0,1.0,0,7,2020
1,AL,27,6,PU,,2010,67926,0,0,1.0,0,7,2020
1,AL,27,8,MX,,2010,3927,0,0,2.0,X,7,2020
1,AL,28,5,,XC,1220,25128,0,492,1.0,X,7,2020
1,AL,28,5,,XO,1220,430910,0,21481,1.0,X,7,2020
1,AL,28,5,,XO,1220,34395,0,159,2.0,X,7,2020
1,AL,28,5,,XS,1220,32828,0,3182,1.0,X,7,2020
1,AL,28,5,MX,,2010,662883,0,0,1.0,0,7,2020
1,AL,28,5,NL,,2010,73542,0,0,1.0,0,7,2020
1,AL,28,5,QT,,2010,41969,0,0,1.0,0,7,2020
1,AL,28,6,NL,,2010,4101944,0,0,1.0,0,7,2020
1,AL,29,1,XX,,2010,105766,103130,0,1.0,1,7,2020
1,AL,29,3,,XC,1220,11298,1762,217,1.0,X,7,2020
1,AL,29,5,,XM,1220,5167,0,2,1.0,X,7,2020
1,AL,29,5,,XO,1220,1368557,0,55590,1.0,X,7,2020
1,AL,29,5,,XO,1220,53383,0,3624,2.0,X,7,2020
1,AL,29,5,,XQ,1220,6065,0,734,1.0,X,7,2020
1,AL,29,5,MX,,2010,53259,0,0,1.0,0,7,2020
1,AL,29,5,NL,,2010,20740,0,0,1.0,0,7,2020
1,AL,29,5,NL,,2010,21620,0,0,2.0,0,7,2020
1,AL,29,6,,XA,1220,124580,0,5931,1.0,X,7,2020
1,AL,29,6,,XC,1220,80906,0,3852,1.0,X,7,2020
1,AL,29,6,,XM,1220,39985,0,1904,1.0,X,7,2020
1,AL,29,6,,XO,1220,564163,0,26863,1.0,X,7,2020
1,AL,29,6,,XQ,1220,548614,0,30006,1.0,X,7,2020
1,AL,29,6,MX,,2010,722349,0,0,1.0,0,7,2020
1,AL,30,3,,XM,1220,19861,27,73,1.0,X,7,2020
1,AL,30,3,,XO,1220,327896,307,4553,1.0,X,7,2020
1,AL,30,3,,XQ,1220,11284,43,71,1.0,X,7,2020
1,AL,30,5,,XM,1220,211611,0,2095,1.0,X,7,2020
1,AL,30,5,,XO,1220,10578,0,370,1.0,X,7,2020
1,AL,31,1,XX,,2010,41328,178139,0,2.0,1,7,2020
1,AL,31,5,,XO,1220,29586,0,407,1.0,X,7,2020
1,AL,31,6,,XO,1220,98802,0,976,1.0,X,7,2020
1,AL,32,5,,XC,1220,3031,0,59,1.0,X,7,2020
1,AL,32,5,,XM,1220,4087,0,74,1.0,X,7,2020
1,AL,32,5,,XO,1220,1204745,0,19369,1.0,X,7,2020
1,AL,32,5,,XQ,1220,4356,0,127,1.0,X,7,2020
1,AL,32,5,BC,,2010,8924,0,0,1.0,0,7,2020
1,AL,32,5,CO,,2010,7230,0,0,1.0,0,7,2020
1,AL,32,5,NL,,2010,35153,0,0,1.0,0,7,2020
1,AL,32,5,OT,,2010,4290,0,0,1.0,0,7,2020
1,AL,33,5,,XO,1220,50316,0,1011,1.0,X,7,2020
1,AL,33,5,MX,,2010,94581,0,0,1.0,0,7,2020
1,AL,34,3,,XC,1220,9117,272,444,1.0,X,7,2020
1,AL,34,5,,XO,1220,16970,0,651,1.0,X,7,2020
1,AL,34,5,CO,,2010,10049,0,0,1.0,0,7,2020
1,AL,34,5,GT,,2010,19311,0,0,1.0,1,7,2020
1,AL,34,5,JA,,2010,10940,0,0,1.0,0,7,2020
1,AL,34,5,MX,,2010,83892,0,0,1.0,0,7,2020
1,AL,34,5,NL,,2010,21186,0,0,1.0,0,7,2020
1,AL,35,5,,XC,1220,87992,0,4186,1.0,X,7,2020
1,AL,35,5,,XO,1220,19251,0,1143,1.0,X,7,2020
1,AL,35,5,CO,,2010,13811,0,0,1.0,0,7,2020
1,AL,35,5,NL,,2010,41126,0,0,1.0,0,7,2020
1,AL,38,1,XX,,2010,10116,20132,0,1.0,1,7,2020
1,AL,38,3,,XC,1220,2872,1,143,1.0,X,7,2020
1,AL,38,3,,XO,1220,7588,371,189,1.0,X,7,2020
1,AL,38,5,,XA,1220,115117,0,4464,1.0,X,7,2020
1,AL,38,5,,XC,1220,100659,0,1972,1.0,X,7,2020
1,AL,38,5,,XM,1220,54361,0,3962,1.0,X,7,2020
1,AL,38,5,,XO,1220,743502,0,17480,1.0,X,7,2020
1,AL,38,5,,XO,1220,251894,0,2491,2.0,X,7,2020
1,AL,38,5,,XQ,1220,54563,0,626,1.0,X,7,2020
1,AL,38,5,,XS,1220,195556,0,5201,1.0,X,7,2020
1,AL,38,5,CO,,2010,210578,0,0,1.0,0,7,2020
1,AL,38,5,DF,,2010,113687,0,0,1.0,0,7,2020
1,AL,38,5,DG,,2010,6281,0,0,1.0,0,7,2020
1,AL,38,5,HG,,2010,28800,0,0,1.0,0,7,2020
1,AL,38,5,MX,,2010,5110,0,0,1.0,0,7,2020
1,AL,38,5,MX,,2010,15372,0,0,2.0,0,7,2020
1,AL,38,5,NL,,2010,55983,0,0,1.0,0,7,2020
1,AL,38,5,OT,,2010,18250,0,0,1.0,0,7,2020
1,AL,38,5,SL,,2010,57218,0,0,1.0,0,7,2020
1,AL,38,6,,XA,1220,291640,0,10099,1.0,X,7,2020
1,AL,38,6,,XO,1220,1109071,0,24643,1.0,X,7,2020
1,AL,38,8,JA,,2010,11340,0,0,1.0,X,7,2020
1,AL,39,3,,XA,1220,4611,1,30,1.0,X,7,2020
1,AL,39,3,XX,,2010,6252,1658,0,1.0,0,7,2020
1,AL,39,5,,XA,1220,56530,0,4283,1.0,X,7,2020
1,AL,39,5,,XB,1220,6153,0,823,1.0,X,7,2020
1,AL,39,5,,XC,1220,347123,0,12476,1.0,X,7,2020
1,AL,39,5,,XC,1220,23949,0,390,2.0,X,7,2020
1,AL,39,5,,XM,1220,443872,0,18865,1.0,X,7,2020
1,AL,39,5,,XM,1220,3372,0,65,2.0,X,7,2020
1,AL,39,5,,XO,1220,6064110,0,146500,1.0,X,7,2020
1,AL,39,5,,XO,1220,286176,0,9121,2.0,X,7,2020
1,AL,39,5,,XQ,1220,226335,0,11627,1.0,X,7,2020
1,AL,39,5,,XQ,1220,17118,0,1402,2.0,X,7,2020
1,AL,39,5,,XS,1220,283647,0,3460,1.0,X,7,2020
1,AL,39,5,,XS,1220,112542,0,2206,2.0,X,7,2020
1,AL,39,5,AG,,2010,13260,0,0,1.0,0,7,2020
1,AL,39,5,BC,,2010,73951,0,0,1.0,0,7,2020
1,AL,39,5,CH,,2010,35331,0,0,1.0,0,7,2020
1,AL,39,5,CO,,2010,918076,0,0,1.0,0,7,2020
1,AL,39,5,CO,,2010,483282,0,0,1.0,1,7,2020
1,AL,39,5,DF,,2010,14832,0,0,1.0,0,7,2020
1,AL,39,5,DG,,2010,630022,0,0,1.0,0,7,2020
1,AL,39,5,DG,,2010,142083,0,0,2.0,0,7,2020
1,AL,39,5,GT,,2010,93957,0,0,1.0,0,7,2020
1,AL,39,5,GT,,2010,42746,0,0,2.0,0,7,2020
1,AL,39,5,JA,,2010,1150596,0,0,1.0,0,7,2020
1,AL,39,5,MX,,2010,376762,0,0,1.0,0,7,2020
1,AL,39,5,MX,,2010,30893,0,0,2.0,0,7,2020
1,AL,39,5,NL,,2010,605636,0,0,1.0,0,7,2020
1,AL,39,5,NL,,2010,191673,0,0,1.0,1,7,2020
1,AL,39,5,NL,,2010,60402,0,0,2.0,0,7,2020
1,AL,39,5,OT,,2010,340684,0,0,1.0,0,7,2020
1,AL,39,5,OT,,2010,25091,0,0,2.0,0,7,2020
1,AL,39,5,PU,,2010,175058,0,0,1.0,0,7,2020
1,AL,39,5,PU,,2010,12429,0,0,2.0,0,7,2020
1,AL,39,5,QT,,2010,630063,0,0,1.0,0,7,2020
1,AL,39,5,SL,,2010,214550,0,0,1.0,0,7,2020
1,AL,39,5,SL,,2010,12467,0,0,1.0,1,7,2020
1,AL,39,5,SL,,2010,228120,0,0,2.0,0,7,2020
1,AL,39,5,SO,,2010,234670,0,0,1.0,0,7,2020
1,AL,39,5,SO,,2010,5376,0,0,2.0,0,7,2020
1,AL,39,5,TM,,2010,48005,0,0,1.0,0,7,2020
1,AL,39,5,TM,,2010,45362,0,0,2.0,0,7,2020
1,AL,39,5,ZA,,2010,4382,0,0,2.0,0,7,2020
1,AL,39,6,,XA,1220,49843,0,3334,2.0,X,7,2020
1,AL,39,6,,XC,1220,3685,0,493,1.0,X,7,2020
1,AL,39,6,,XO,1220,1790956,0,41960,1.0,X,7,2020
1,AL,39,6,,XO,1220,576878,0,13336,2.0,X,7,2020
1,AL,39,6,,XQ,1220,208977,0,7124,1.0,X,7,2020
1,AL,39,6,,XQ,1220,685091,0,13336,2.0,X,7,2020
1,AL,39,6,SL,,2010,49165,0,0,1.0,1,7,2020
1,AL,40,3,,XO,1220,15393,444,745,1.0,X,7,2020
1,AL,40,5,,XA,1220,20450,0,399,1.0,X,7,2020
1,AL,40,5,,XB,1220,6076,0,119,1.0,X,7,2020
1,AL,40,5,,XC,1220,32263,0,2372,1.0,X,7,2020
1,AL,40,5,,XC,1220,5874,0,74,2.0,X,7,2020
1,AL,40,5,,XM,1220,13442,0,1281,1.0,X,7,2020
1,AL,40,5,,XO,1220,1054929,0,22320,1.0,X,7,2020
1,AL,40,5,,XO,1220,14834,0,320,2.0,X,7,2020
1,AL,40,5,,XQ,1220,34213,0,1559,1.0,X,7,2020
