TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,10,5,1220,5518,0,108,1.0,X,7,2020
1,0101,15,5,1220,3080,0,47,2.0,X,7,2020
1,0101,17,5,1220,9412,0,184,1.0,X,7,2020
1,0101,22,5,1220,20149,0,394,1.0,X,7,2020
1,0101,25,6,1220,18011,0,351,1.0,X,7,2020
1,0101,28,5,1220,7265,0,142,1.0,X,7,2020
1,0101,29,5,1220,20191,0,339,1.0,X,7,2020
1,0101,33,5,1220,7439,0,144,1.0,X,7,2020
1,0101,34,5,1220,3973,0,77,1.0,X,7,2020
1,0101,35,5,1220,5209,0,142,1.0,X,7,2020
1,0101,38,5,1220,460815,0,3897,1.0,X,7,2020
1,0101,39,5,1220,514764,0,10172,1.0,X,7,2020
1,0101,39,5,1220,73718,0,1444,2.0,X,7,2020
1,0101,48,5,1220,12727,0,249,1.0,X,7,2020
1,0101,56,5,1220,7843,0,154,2.0,X,7,2020
1,0101,59,5,1220,6638,0,130,1.0,X,7,2020
1,0101,60,5,1220,2711,0,53,1.0,X,7,2020
1,0101,60,5,1220,4453,0,87,2.0,X,7,2020
1,0101,61,5,1220,13735,0,269,2.0,X,7,2020
1,0101,72,5,1220,93300,0,1827,1.0,X,7,2020
1,0101,72,6,1220,9176,0,555,1.0,X,7,2020
1,0101,73,5,1220,14477,0,338,2.0,X,7,2020
1,0101,76,5,1220,102061,0,2000,1.0,X,7,2020
1,0101,84,5,1220,164018,0,1626,1.0,X,7,2020
1,0101,84,5,1220,414570,0,8160,2.0,X,7,2020
1,0101,85,5,1220,15585,0,38,1.0,X,7,2020
1,0101,85,5,1220,21246,0,416,2.0,X,7,2020
1,0101,87,5,1220,87522,0,1715,1.0,X,7,2020
1,0101,87,5,1220,8622,0,125,2.0,X,7,2020
1,0101,89,8,1220,4433244,0,20580,1.0,X,7,2020
1,0101,90,5,1220,35290,0,692,1.0,X,7,2020
1,0101,90,5,1220,20568,0,351,2.0,X,7,2020
1,0101,90,6,1220,172969,0,3390,2.0,X,7,2020
1,0101,94,8,1220,5868,0,0,1.0,X,7,2020
1,0101,95,5,1220,43953,0,862,2.0,X,7,2020
1,0101,95,6,1220,61894,0,1225,1.0,X,7,2020
1,0102,72,6,1220,99497,0,3401,1.0,X,7,2020
1,0102,73,6,1220,4344,0,151,1.0,X,7,2020
1,0103,20,5,1220,5089,0,74,1.0,X,7,2020
1,0103,82,5,1220,7910,0,238,1.0,X,7,2020
1,0103,87,5,1220,12305,0,98,1.0,X,7,2020
1,0104,10,6,1220,64565,0,1265,1.0,X,7,2020
1,0104,19,5,1220,68868,0,3441,1.0,X,7,2020
1,0104,22,6,1220,358870,0,17083,1.0,X,7,2020
1,0104,25,5,1220,12821,0,535,1.0,X,7,2020
1,0104,25,6,1220,4053,0,79,1.0,X,7,2020
1,0104,25,6,1220,58455,0,3334,2.0,X,7,2020
1,0104,27,6,1220,99235,0,6668,1.0,X,7,2020
1,0104,31,5,1220,35601,0,3122,1.0,X,7,2020
