TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0712,5,,XQ,1220,2864,0,19,1.0,X,6,2020
1,AK,20XX,3,,XA,1220,2938,336,67,1.0,X,6,2020
1,AK,20XX,3,,XA,1220,7957,133,138,2.0,X,6,2020
1,AK,20XX,3,,XC,1220,22874,2253,591,1.0,X,6,2020
1,AK,20XX,3,,XC,1220,7439,1,108,2.0,X,6,2020
1,AK,20XX,3,,XM,1220,5107,9,73,1.0,X,6,2020
1,AK,20XX,3,,XM,1220,2731,19,81,2.0,X,6,2020
1,AK,20XX,3,,XO,1220,16189,483,104,1.0,X,6,2020
1,AK,20XX,3,,XO,1220,33769,20,661,2.0,X,6,2020
1,AK,2303,5,NL,,2010,15986,0,0,1.0,0,6,2020
1,AK,2303,6,GT,,2010,18819,0,0,1.0,0,6,2020
1,AK,2304,5,AG,,2010,30669,0,0,1.0,0,6,2020
1,AK,2304,5,CH,,2010,10477,0,0,1.0,0,6,2020
1,AK,2304,5,CM,,2010,127382,0,0,2.0,0,6,2020
1,AK,2304,5,CO,,2010,233728,0,0,1.0,0,6,2020
1,AK,2304,5,GT,,2010,3350,0,0,1.0,0,6,2020
1,AK,2304,5,JA,,2010,23622,0,0,1.0,0,6,2020
1,AK,2304,5,JA,,2010,3100,0,0,2.0,0,6,2020
1,AK,2304,5,MX,,2010,17510,0,0,1.0,0,6,2020
1,AK,2304,5,MX,,2010,68519,0,0,2.0,0,6,2020
1,AK,2304,5,NL,,2010,209390,0,0,1.0,0,6,2020
1,AK,2304,5,NL,,2010,517001,0,0,2.0,0,6,2020
1,AK,2304,5,QT,,2010,35131,0,0,1.0,0,6,2020
1,AK,2304,5,SL,,2010,23775,0,0,2.0,0,6,2020
1,AK,2304,5,TL,,2010,32766,0,0,2.0,0,6,2020
1,AK,2304,6,NL,,2010,61517,0,0,1.0,0,6,2020
1,AK,2506,5,BC,,2010,3241,0,0,1.0,0,6,2020
1,AK,2604,5,SO,,2010,4499,0,0,2.0,0,6,2020
1,AK,3001,5,,XY,1220,170514,0,8889,1.0,X,6,2020
1,AK,3004,5,,XC,1220,1517470,0,24667,1.0,X,6,2020
1,AK,3004,5,,XC,1220,50853,0,1309,2.0,X,6,2020
