TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,3,5,,XC,1220,1641443,0,28681,1.0,X,6,2020
1,AK,3,5,,XC,1220,50853,0,1309,2.0,X,6,2020
1,AK,3,5,,XO,1220,76165,0,1044,1.0,X,6,2020
1,AK,3,5,,XY,1220,2371198,0,39995,1.0,X,6,2020
1,AK,5,5,,XO,1220,20788,0,126,1.0,X,6,2020
1,AK,15,5,JA,,2010,3100,0,0,2.0,0,6,2020
1,AK,21,5,MX,,2010,17510,0,0,1.0,0,6,2020
1,AK,23,5,,XC,1220,240221,0,1177,1.0,X,6,2020
1,AK,27,5,,XC,1220,2710190,0,155579,1.0,X,6,2020
1,AK,27,5,NL,,2010,15986,0,0,1.0,0,6,2020
1,AK,28,6,GT,,2010,18819,0,0,1.0,0,6,2020
1,AK,28,6,NL,,2010,61517,0,0,1.0,0,6,2020
1,AK,29,5,MX,,2010,46050,0,0,2.0,0,6,2020
1,AK,39,5,CH,,2010,10477,0,0,1.0,0,6,2020
1,AK,39,5,NL,,2010,26776,0,0,1.0,0,6,2020
1,AK,39,5,NL,,2010,10576,0,0,2.0,0,6,2020
1,AK,39,5,QT,,2010,3471,0,0,1.0,0,6,2020
1,AK,42,5,TL,,2010,2970,0,0,2.0,0,6,2020
1,AK,43,5,,XY,1220,43412,0,352,1.0,X,6,2020
1,AK,44,1,,XC,1220,3489256,20076725,34547,1.0,X,6,2020
1,AK,44,5,,XC,1220,6638,0,368,1.0,X,6,2020
1,AK,44,5,,XS,1220,19092,0,497,1.0,X,6,2020
1,AK,48,5,NL,,2010,9334,0,0,2.0,0,6,2020
1,AK,59,5,TL,,2010,29796,0,0,2.0,0,6,2020
1,AK,63,3,,XA,1220,2938,336,67,1.0,X,6,2020
1,AK,63,3,,XA,1220,4624,87,73,2.0,X,6,2020
1,AK,63,3,,XC,1220,2928,335,56,1.0,X,6,2020
1,AK,63,3,,XO,1220,4166,476,82,1.0,X,6,2020
1,AK,68,5,,XC,1220,7013,0,84,1.0,X,6,2020
1,AK,68,5,NL,,2010,3220,0,0,1.0,0,6,2020
1,AK,70,5,,XC,1220,20377,0,398,1.0,X,6,2020
1,AK,73,5,,XC,1220,63213,0,1218,1.0,X,6,2020
1,AK,73,5,,XY,1220,5834,0,16,2.0,X,6,2020
1,AK,73,5,AG,,2010,3250,0,0,1.0,0,6,2020
1,AK,73,5,NL,,2010,34132,0,0,1.0,0,6,2020
1,AK,73,5,NL,,2010,10000,0,0,2.0,0,6,2020
1,AK,73,5,QT,,2010,31660,0,0,1.0,0,6,2020
1,AK,76,5,NL,,2010,28951,0,0,1.0,0,6,2020
1,AK,83,5,CM,,2010,2991,0,0,2.0,0,6,2020
1,AK,84,3,,XA,1220,3333,46,65,2.0,X,6,2020
1,AK,84,3,,XC,1220,15364,1898,161,1.0,X,6,2020
1,AK,84,3,,XM,1220,2731,19,81,2.0,X,6,2020
1,AK,84,5,,XC,1220,20085,0,147,1.0,X,6,2020
1,AK,84,5,,XY,1220,6766715,0,20190,1.0,X,6,2020
1,AK,84,5,,XY,1220,3482258,0,140395,2.0,X,6,2020
1,AK,84,5,CM,,2010,120958,0,0,2.0,0,6,2020
1,AK,84,5,JA,,2010,23622,0,0,1.0,0,6,2020
1,AK,84,5,MX,,2010,22469,0,0,2.0,0,6,2020
1,AK,84,5,NL,,2010,11910,0,0,2.0,0,6,2020
1,AK,84,5,SL,,2010,23775,0,0,2.0,0,6,2020
1,AK,84,5,SO,,2010,4499,0,0,2.0,0,6,2020
1,AK,85,3,XX,,2010,3553,29,0,2.0,0,6,2020
1,AK,85,5,,XC,1220,46105,0,1083,1.0,X,6,2020
1,AK,85,5,,XQ,1220,2864,0,19,1.0,X,6,2020
1,AK,85,5,AG,,2010,3492,0,0,1.0,0,6,2020
1,AK,85,5,CM,,2010,3433,0,0,2.0,0,6,2020
1,AK,85,5,NL,,2010,102784,0,0,1.0,0,6,2020
1,AK,85,5,NL,,2010,362879,0,0,2.0,0,6,2020
1,AK,87,5,,XA,1220,9965,0,80,1.0,X,6,2020
1,AK,87,5,,XY,1220,7603,0,75,1.0,X,6,2020
1,AK,87,5,,XY,1220,256596,0,4427,2.0,X,6,2020
1,AK,87,5,GT,,2010,3350,0,0,1.0,0,6,2020
1,AK,88,3,,XA,1220,3915,7,76,1.0,X,6,2020
1,AK,88,3,,XC,1220,11910,73,779,1.0,X,6,2020
1,AK,88,3,,XC,1220,7439,1,108,2.0,X,6,2020
1,AK,88,3,,XO,1220,5106,2,93,1.0,X,6,2020
1,AK,88,5,,XC,1220,24536,0,480,1.0,X,6,2020
1,AK,88,5,,XY,1220,10545,0,295,1.0,X,6,2020
1,AK,88,5,CO,,2010,233728,0,0,1.0,0,6,2020
1,AK,89,5,,XY,1220,30005,0,291,1.0,X,6,2020
1,AK,90,3,,XM,1220,5107,9,73,1.0,X,6,2020
1,AK,90,3,,XO,1220,12023,7,22,1.0,X,6,2020
1,AK,90,3,,XO,1220,33769,20,661,2.0,X,6,2020
1,AK,94,5,AG,,2010,23927,0,0,1.0,0,6,2020
1,AK,94,5,BC,,2010,3241,0,0,1.0,0,6,2020
