TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,19,5,1220,13707,0,270,1.0,X,6,2020
1,0101,22,8,1220,5857,0,0,1.0,X,6,2020
1,0101,28,5,1220,3588,0,70,1.0,X,6,2020
1,0101,28,5,1220,78056,0,1530,2.0,X,6,2020
1,0101,33,5,1220,92980,0,1822,1.0,X,6,2020
1,0101,35,5,1220,9252,0,245,1.0,X,6,2020
1,0101,38,5,1220,810129,0,12465,1.0,X,6,2020
1,0101,38,5,1220,3080,0,60,2.0,X,6,2020
1,0101,38,6,1220,4754,0,90,1.0,X,6,2020
1,0101,39,5,1220,236426,0,4562,1.0,X,6,2020
1,0101,39,5,1220,4875,0,95,2.0,X,6,2020
1,0101,39,6,1220,134266,0,2632,1.0,X,6,2020
1,0101,40,5,1220,43500,0,852,1.0,X,6,2020
1,0101,48,5,1220,16037,0,312,1.0,X,6,2020
1,0101,53,5,1220,3364,0,65,1.0,X,6,2020
1,0101,58,5,1220,9564,0,187,1.0,X,6,2020
1,0101,61,5,1220,10383,0,202,2.0,X,6,2020
1,0101,64,5,1220,7680,0,184,2.0,X,6,2020
1,0101,66,5,1220,17134,0,882,1.0,X,6,2020
1,0101,70,5,1220,2683,0,52,2.0,X,6,2020
1,0101,72,5,1220,64726,0,1268,1.0,X,6,2020
1,0101,72,6,1220,79821,0,4253,1.0,X,6,2020
1,0101,83,5,1220,4285,0,84,1.0,X,6,2020
1,0101,84,5,1220,193587,0,3830,2.0,X,6,2020
1,0101,84,6,1220,7387,0,169,2.0,X,6,2020
1,0101,85,5,1220,158733,0,3111,1.0,X,6,2020
1,0101,85,5,1220,26876,0,492,2.0,X,6,2020
1,0101,85,6,1220,11145,0,188,2.0,X,6,2020
1,0101,86,8,1220,7871,0,0,2.0,X,6,2020
1,0101,87,5,1220,34801,0,681,1.0,X,6,2020
1,0101,87,5,1220,13585,0,256,2.0,X,6,2020
1,0101,90,5,1220,10482,0,205,1.0,X,6,2020
1,0101,90,6,1220,75295,0,1466,1.0,X,6,2020
1,0101,90,6,1220,160277,0,3135,2.0,X,6,2020
1,0101,94,5,1220,10072,0,197,1.0,X,6,2020
1,0101,94,5,1220,16457,0,322,2.0,X,6,2020
1,0101,95,5,1220,2589,0,50,1.0,X,6,2020
1,0101,95,5,1220,11758,0,242,2.0,X,6,2020
1,0101,95,6,1220,59163,0,1167,1.0,X,6,2020
1,0101,96,5,1220,4193,0,81,1.0,X,6,2020
1,0102,48,5,1220,47266,0,928,1.0,X,6,2020
1,0102,72,6,1220,158718,0,5070,1.0,X,6,2020
1,0102,73,6,1220,21357,0,818,1.0,X,6,2020
1,0103,5,5,1220,12992,0,1264,1.0,X,6,2020
1,0103,84,5,1220,71717,0,66,1.0,X,6,2020
1,0103,85,5,1220,2540,0,2,2.0,X,6,2020
1,0103,95,5,1220,19835,0,726,1.0,X,6,2020
1,0104,17,5,1220,1457519,0,72433,1.0,X,6,2020
1,0104,25,5,1220,8916,0,841,1.0,X,6,2020
1,0104,31,5,1220,4837,0,73,1.0,X,6,2020
1,0104,32,5,1220,3031,0,386,1.0,X,6,2020
1,0104,34,5,1220,8673,0,468,1.0,X,6,2020
1,0104,39,5,1220,15527,0,528,1.0,X,6,2020
1,0104,44,5,1220,1948197,0,80475,1.0,X,6,2020
1,0104,44,5,1220,88163,0,918,2.0,X,6,2020
1,0104,44,6,1220,79258,0,4236,1.0,X,6,2020
1,0104,47,5,1220,748281,0,35171,1.0,X,6,2020
1,0104,48,5,1220,4346567,0,435518,1.0,X,6,2020
1,0104,49,5,1220,5319,0,154,1.0,X,6,2020
1,0104,54,5,1220,924261,0,8681,1.0,X,6,2020
1,0104,55,5,1220,539652,0,5045,1.0,X,6,2020
1,0104,56,5,1220,12009,0,157,1.0,X,6,2020
1,0104,56,5,1220,7878,0,135,2.0,X,6,2020
1,0104,58,5,1220,17429,0,223,1.0,X,6,2020
1,0104,59,5,1220,13868,0,272,1.0,X,6,2020
1,0104,68,5,1220,131015,0,6226,1.0,X,6,2020
1,0104,69,5,1220,6517,0,189,1.0,X,6,2020
1,0104,72,5,1220,10572,0,516,1.0,X,6,2020
1,0104,73,5,1220,6983,0,345,1.0,X,6,2020
1,0104,80,5,1220,5014,0,304,1.0,X,6,2020
1,0104,82,5,1220,2652,0,79,1.0,X,6,2020
1,0104,83,5,1220,11719,0,298,1.0,X,6,2020
1,0104,84,5,1220,32464,0,681,1.0,X,6,2020
1,0104,87,5,1220,685574,0,11257,1.0,X,6,2020
1,0104,89,5,1220,30047,0,469,1.0,X,6,2020
1,0104,94,5,1220,92105,0,912,1.0,X,6,2020
1,0104,95,5,1220,10522,0,363,2.0,X,6,2020
1,0104,96,5,1220,111710,0,7227,1.0,X,6,2020
1,0104,98,5,1220,158395,0,3439,1.0,X,6,2020
1,0105,23,6,1220,27944,0,1328,1.0,X,6,2020
1,0105,25,6,1220,558562,0,52740,2.0,X,6,2020
1,0105,28,5,1220,14813,0,82,1.0,X,6,2020
1,0105,34,5,1220,20578,0,2429,1.0,X,6,2020
1,0105,44,6,1220,888260,0,107011,1.0,X,6,2020
1,0105,58,5,1220,8274,0,764,1.0,X,6,2020
1,0105,87,5,1220,7879,0,154,2.0,X,6,2020
1,0106,1,5,1220,77742,0,966,1.0,X,6,2020
1,0106,3,5,1220,561855,0,13907,1.0,X,6,2020
1,0106,3,5,1220,442507,0,10894,2.0,X,6,2020
1,0106,4,5,1220,12927,0,1003,1.0,X,6,2020
1,0106,5,5,1220,664208,0,55177,1.0,X,6,2020
