TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,12,5,1220,203667,0,1790,1.0,X,3,2020
1,0101,18,5,1220,15247,0,297,1.0,X,3,2020
1,0101,20,5,1220,5254,0,103,2.0,X,3,2020
1,0101,22,5,1220,6578,0,128,1.0,X,3,2020
1,0101,25,5,1220,9481,0,0,1.0,X,3,2020
1,0101,28,5,1220,40491,0,793,2.0,X,3,2020
1,0101,29,5,1220,3866,0,75,2.0,X,3,2020
1,0101,32,5,1220,4686,0,91,1.0,X,3,2020
1,0101,34,5,1220,27901,0,0,2.0,X,3,2020
1,0101,38,5,1220,148042,0,1790,1.0,X,3,2020
1,0101,38,5,1220,9968,0,195,2.0,X,3,2020
1,0101,39,5,1220,287475,0,5625,1.0,X,3,2020
1,0101,39,5,1220,15041,0,347,2.0,X,3,2020
1,0101,48,5,1220,19707,0,801,1.0,X,3,2020
1,0101,49,5,1220,17766,0,348,1.0,X,3,2020
1,0101,57,5,1220,5735,0,112,2.0,X,3,2020
1,0101,59,5,1220,26617,0,522,2.0,X,3,2020
1,0101,63,5,1220,3552,0,69,1.0,X,3,2020
1,0101,72,6,1220,168777,0,6582,1.0,X,3,2020
1,0101,76,5,1220,5378,0,105,1.0,X,3,2020
1,0101,76,6,1220,13163,0,429,1.0,X,3,2020
1,0101,83,5,1220,2663,0,52,2.0,X,3,2020
1,0101,84,5,1220,21811,0,570,1.0,X,3,2020
1,0101,84,5,1220,632132,0,4135,2.0,X,3,2020
1,0101,85,5,1220,37597,0,144,1.0,X,3,2020
1,0101,87,5,1220,3982,0,57,1.0,X,3,2020
1,0101,87,5,1220,19918,0,313,2.0,X,3,2020
1,0101,88,8,1220,4563745,0,71,2.0,X,3,2020
1,0101,90,5,1220,41268,0,775,1.0,X,3,2020
1,0101,94,5,1220,3262,0,64,1.0,X,3,2020
1,0101,94,5,1220,8151,0,159,2.0,X,3,2020
1,0102,48,5,1220,12196,0,239,1.0,X,3,2020
1,0102,68,5,1220,10683,0,209,1.0,X,3,2020
1,0102,72,6,1220,89207,0,2506,1.0,X,3,2020
1,0103,12,5,1220,8711,0,80,1.0,X,3,2020
1,0103,47,5,1220,8301,0,644,1.0,X,3,2020
1,0103,73,5,1220,34032,0,1379,1.0,X,3,2020
1,0103,84,5,1220,3255,0,63,1.0,X,3,2020
1,0103,86,5,1220,78004,0,490,1.0,X,3,2020
1,0103,94,5,1220,3728,0,73,1.0,X,3,2020
1,0104,10,6,1220,198047,0,3878,1.0,X,3,2020
1,0104,12,5,1220,22483,0,440,2.0,X,3,2020
1,0104,19,5,1220,26482,0,3223,1.0,X,3,2020
1,0104,21,5,1220,134030,0,71,1.0,X,3,2020
1,0104,22,5,1220,21162,0,414,1.0,X,3,2020
1,0104,31,5,1220,40297,0,3288,1.0,X,3,2020
1,0104,38,5,1220,3585,0,70,1.0,X,3,2020
1,0104,39,5,1220,108729,0,5842,1.0,X,3,2020
1,0104,39,5,1220,4061,0,138,2.0,X,3,2020
1,0104,41,5,1220,7772,0,152,1.0,X,3,2020
1,0104,44,5,1220,9423697,0,396081,1.0,X,3,2020
1,0104,44,5,1220,50241,0,587,2.0,X,3,2020
1,0104,44,6,1220,172559,0,8310,1.0,X,3,2020
1,0104,47,5,1220,1027842,0,49079,1.0,X,3,2020
1,0104,48,5,1220,6093975,0,603447,1.0,X,3,2020
1,0104,54,5,1220,906328,0,8132,1.0,X,3,2020
1,0104,55,5,1220,477976,0,4406,1.0,X,3,2020
1,0104,58,5,1220,6328,0,84,1.0,X,3,2020
