TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,2,5,MX,,2010,40920,0,0,1.0,0,5,2020
1,AK,3,1,,XB,1220,423187,98656,5801,1.0,X,5,2020
1,AK,3,5,,XC,1220,644882,0,10887,1.0,X,5,2020
1,AK,3,5,,XO,1220,76473,0,1675,1.0,X,5,2020
1,AK,3,5,,XY,1220,1302549,0,17849,1.0,X,5,2020
1,AK,8,3,,XC,1220,3778,134,71,1.0,X,5,2020
1,AK,15,5,MX,,2010,7056,0,0,1.0,0,5,2020
1,AK,23,5,,XC,1220,144086,0,857,1.0,X,5,2020
1,AK,27,5,,XC,1220,1930535,0,181512,1.0,X,5,2020
1,AK,28,5,,XW,1220,11227,0,0,1.0,X,5,2020
1,AK,28,5,,XY,1220,7062,0,133,1.0,X,5,2020
1,AK,38,5,,XY,1220,38308,0,699,1.0,X,5,2020
1,AK,39,3,,XC,1220,3582,128,53,2.0,X,5,2020
1,AK,39,5,,XY,1220,10251,0,258,2.0,X,5,2020
1,AK,39,5,MI,,2010,18056,0,0,2.0,0,5,2020
1,AK,39,5,MX,,2010,9346,0,0,1.0,0,5,2020
1,AK,39,5,NL,,2010,9383,0,0,1.0,0,5,2020
1,AK,40,3,,XC,1220,3169,20,47,1.0,X,5,2020
1,AK,40,3,,XO,1220,3500,29,60,1.0,X,5,2020
1,AK,40,5,SO,,2010,8858,0,0,1.0,0,5,2020
1,AK,42,5,TL,,2010,6881,0,0,2.0,0,5,2020
1,AK,44,5,,XC,1220,28727,0,455,1.0,X,5,2020
1,AK,47,6,MX,,2010,21830,0,0,1.0,0,5,2020
1,AK,48,5,NL,,2010,15898,0,0,2.0,0,5,2020
1,AK,63,3,,XC,1220,7671,224,506,1.0,X,5,2020
1,AK,63,3,,XM,1220,11512,938,280,1.0,X,5,2020
1,AK,70,3,,XC,1220,13635,120,868,1.0,X,5,2020
1,AK,72,5,MX,,2010,75697,0,0,1.0,0,5,2020
1,AK,73,3,,XO,1220,4966,250,102,1.0,X,5,2020
1,AK,73,5,,XW,1220,3308,0,0,1.0,X,5,2020
1,AK,73,5,MX,,2010,83282,0,0,1.0,0,5,2020
1,AK,73,5,NL,,2010,6445,0,0,1.0,0,5,2020
1,AK,76,5,NL,,2010,62187,0,0,1.0,0,5,2020
1,AK,83,5,CM,,2010,19563,0,0,1.0,0,5,2020
1,AK,83,5,CM,,2010,2519,0,0,2.0,0,5,2020
1,AK,83,5,JA,,2010,5700,0,0,2.0,0,5,2020
1,AK,84,3,,XA,1220,25526,78,332,1.0,X,5,2020
1,AK,84,3,,XC,1220,40807,103,2015,1.0,X,5,2020
1,AK,84,3,,XC,1220,29687,491,542,2.0,X,5,2020
1,AK,84,3,,XM,1220,7487,14,816,2.0,X,5,2020
1,AK,84,3,,XO,1220,15942,107,336,1.0,X,5,2020
1,AK,84,3,,XO,1220,16422,54,322,2.0,X,5,2020
1,AK,84,5,,XA,1220,12180,0,633,1.0,X,5,2020
1,AK,84,5,,XW,1220,3708,0,0,2.0,X,5,2020
1,AK,84,5,,XY,1220,759384,0,2529,1.0,X,5,2020
1,AK,84,5,CM,,2010,38180,0,0,2.0,0,5,2020
1,AK,84,5,NL,,2010,4400,0,0,2.0,0,5,2020
1,AK,84,5,SL,,2010,23522,0,0,1.0,0,5,2020
1,AK,84,5,SL,,2010,15539,0,0,2.0,0,5,2020
1,AK,85,5,,XY,1220,3049,0,60,2.0,X,5,2020
1,AK,85,5,AG,,2010,3909,0,0,1.0,0,5,2020
1,AK,85,5,CM,,2010,51613,0,0,2.0,0,5,2020
1,AK,85,5,DF,,2010,38720,0,0,2.0,0,5,2020
1,AK,85,5,NL,,2010,128617,0,0,1.0,0,5,2020
1,AK,85,5,NL,,2010,272698,0,0,2.0,0,5,2020
1,AK,87,5,,XA,1220,6683,0,0,1.0,X,5,2020
1,AK,87,5,NL,,2010,92072,0,0,1.0,0,5,2020
