TRDTYPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,MONTH,YEAR
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,30601.0,50000.0,50000.0
1.38798,55.39846,4.56946,1543.6788,5746222.57616,2651038.85228,76458.852,1.3617855625633148,1.98916,2020.0
0.4872948478338084,28.398796091749894,1.5233849554313081,388.5116539521886,45668580.92547546,51304132.91227966,1104344.9233966928,0.4805250408980949,0.8147734479690846,0.0
1.0,1.0,1.0,1220.0,251.0,0.0,0.0,1.0,1.0,2020.0
1.0,30.0,3.0,1220.0,17988.5,0.0,0.0,1.0,1.0,2020.0
1.0,58.0,5.0,1220.0,116975.0,49.5,559.0,1.0,2.0,2020.0
2.0,84.0,5.0,2010.0,959884.75,11893.0,7022.25,2.0,3.0,2020.0
2.0,99.0,9.0,2010.0,2320611019.0,7057516518.0,149304267.0,2.0,3.0,2020.0
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,29690.0,50000.0,50000.0
1.4062,54.83538,4.57232,1527.0098,4103775.1221,2785247.1253,70369.51444,1.3597844392051195,5.04236,2020.0
0.49112766581377043,28.61168594870034,1.512856765299295,385.0788106579851,31609641.75639516,62367795.849581525,1311064.1881160622,0.4799451582487675,0.923007404766281,0.0
1.0,1.0,1.0,1220.0,0.0,0.0,0.0,1.0,3.0,2020.0
1.0,29.0,3.0,1220.0,17972.0,0.0,5.0,1.0,4.0,2020.0
1.0,56.0,5.0,1220.0,110218.0,36.0,684.0,1.0,5.0,2020.0
2.0,84.0,5.0,2010.0,859472.0,11672.75,7562.75,2.0,6.0,2020.0
2.0,99.0,9.0,2010.0,1937288596.0,7222163953.0,153568059.0,2.0,7.0,2020.0
14972.0,14972.0,14972.0,14972.0,14972.0,14972.0,14972.0,8167.0,14972.0,14972.0
1.4545150948437082,55.631378573336896,4.514627304301363,1576.8507881378573,5781090.755076142,3203591.9641330484,77405.27397809245,1.3590057548671484,7.0,2020.0
0.49794345478372415,28.423581380868924,1.5747531488516484,393.1665833176902,47129693.14032421,62331151.310876824,1423190.2768674232,0.4797382652814997,0.0,0.0
1.0,1.0,1.0,1220.0,254.0,0.0,0.0,1.0,7.0,2020.0
1.0,31.0,3.0,1220.0,17633.5,0.0,0.0,1.0,7.0,2020.0
1.0,58.0,5.0,1220.0,115448.5,184.0,500.0,1.0,7.0,2020.0
2.0,84.0,5.0,2010.0,935111.25,19985.5,6584.0,2.0,7.0,2020.0
2.0,99.0,9.0,2010.0,2029771213.0,6496963596.0,155846515.0,2.0,7.0,2020.0
