TRDTYPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,MONTH,YEAR,MEXSTATE,CONTCODE
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,47713.0,50000.0,50000.0,,
1.04574,57.80892,4.81558,1581.8516,874481.03976,195827.89274,9957.67706,1.3138138452832562,6.0,2020.0,,
0.20892277370958745,27.486844834691,1.0470870027957697,393.6105717115373,11100148.049196633,9654716.999817243,177040.68964760916,0.46404658064791343,0.0,0.0,,
1.0,1.0,1.0,1220.0,2.0,0.0,0.0,1.0,6.0,2020.0,,
1.0,34.0,5.0,1220.0,10747.5,0.0,0.0,1.0,6.0,2020.0,,
1.0,62.0,5.0,1220.0,42385.0,0.0,67.0,1.0,6.0,2020.0,,
1.0,84.0,5.0,2010.0,205384.0,0.0,1106.0,2.0,6.0,2020.0,,
2.0,98.0,9.0,2010.0,1232961176.0,1285728365.0,27694491.0,2.0,6.0,2020.0,,
19259.0,19259.0,19259.0,19259.0,19259.0,19259.0,19259.0,0.0,19259.0,19259.0,0.0,19259.0
2.0,54.0326081312633,4.664520483929591,1373.6190871800197,1990105.2256088064,1730263.647593333,34217.55807674334,,6.0,2020.0,,0.09891479308375305
0.0,28.630654543467386,1.2031104072027947,312.6744813241792,28219308.12368012,42999517.492060326,925610.1510794839,,0.0,0.0,,0.2985553299365395
2.0,1.0,1.0,1220.0,252.0,0.0,0.0,,6.0,2020.0,,0.0
2.0,29.0,5.0,1220.0,13342.0,506.5,215.0,,6.0,2020.0,,0.0
2.0,54.0,5.0,1220.0,74578.0,17967.0,1018.0,,6.0,2020.0,,0.0
2.0,84.0,5.0,1220.0,444768.0,171010.5,5493.0,,6.0,2020.0,,0.0
2.0,99.0,9.0,2010.0,2195267084.0,4861130361.0,112536439.0,,6.0,2020.0,,1.0
