TRDTYPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,MONTH,YEAR,CONTCODE
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,30601.0,50000.0,50000.0,
1.38798,55.39846,4.56946,1543.6788,5746222.57616,2651038.85228,76458.852,1.3617855625633148,1.98916,2020.0,
0.4872948478338084,28.398796091749894,1.5233849554313081,388.5116539521886,45668580.92547546,51304132.91227966,1104344.9233966928,0.4805250408980949,0.8147734479690846,0.0,
1.0,1.0,1.0,1220.0,251.0,0.0,0.0,1.0,1.0,2020.0,
1.0,30.0,3.0,1220.0,17988.5,0.0,0.0,1.0,1.0,2020.0,
1.0,58.0,5.0,1220.0,116975.0,49.5,559.0,1.0,2.0,2020.0,
2.0,84.0,5.0,2010.0,959884.75,11893.0,7022.25,2.0,3.0,2020.0,
2.0,99.0,9.0,2010.0,2320611019.0,7057516518.0,149304267.0,2.0,3.0,2020.0,
1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,0.0,1056.0,1056.0,1056.0
2.0,63.796401515151516,3.4668560606060606,1597.7935606060605,4299936.849431818,11475833.811553031,211018.38446969696,,3.0,2020.0,0.26515151515151514
0.0,27.75903808797125,2.1491406774103288,394.8120423841901,61839263.343545526,229253614.9824079,4671057.890269975,,0.0,0.0,0.44162300381131925
2.0,1.0,1.0,1220.0,259.0,0.0,0.0,,3.0,2020.0,0.0
2.0,39.0,1.0,1220.0,7807.5,158.0,200.0,,3.0,2020.0,0.0
2.0,73.0,3.0,1220.0,39564.0,1308.5,1100.0,,3.0,2020.0,0.0
2.0,86.0,5.0,2010.0,256363.75,17277.5,5815.5,,3.0,2020.0,1.0
2.0,99.0,9.0,2010.0,1937288596.0,7222163953.0,149671894.0,,3.0,2020.0,1.0
