TRDTYPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,MONTH,YEAR,MEXSTATE,CONTCODE
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,43951.0,50000.0,50000.0,,
1.12098,56.96642,4.79252,1555.276,707892.05258,335474.3553,11289.36004,1.312598120634343,5.0,2020.0,,
0.3261072929563679,27.787298808324305,1.072536738905072,390.46266536745986,7269277.770884625,21722707.619861968,441862.27590846247,0.46355735871051645,0.0,0.0,,
1.0,1.0,1.0,1220.0,15.0,0.0,0.0,1.0,5.0,2020.0,,
1.0,33.0,5.0,1220.0,10612.75,0.0,0.0,1.0,5.0,2020.0,,
1.0,61.0,5.0,1220.0,42603.0,0.0,113.0,1.0,5.0,2020.0,,
1.0,84.0,5.0,2010.0,197074.0,2.0,1434.0,2.0,5.0,2020.0,,
2.0,99.0,9.0,2010.0,610757324.0,4489330937.0,94832255.0,2.0,5.0,2020.0,,
14715.0,14715.0,14715.0,14715.0,14715.0,14715.0,14715.0,0.0,14715.0,14715.0,0.0,14715.0
2.0,53.99993204213388,4.732178049609242,1366.3499830105334,1404984.034998301,1575556.0245327896,28464.86992864424,,5.0,2020.0,,0.09486918110771322
0.0,28.890028559440495,1.1440229367970587,306.9276315237221,13833392.794768615,29675938.523836337,443804.0525674679,,0.0,0.0,,0.2930441186162854
2.0,1.0,1.0,1220.0,252.0,0.0,0.0,,5.0,2020.0,,0.0
2.0,29.0,5.0,1220.0,14734.0,678.0,243.0,,5.0,2020.0,,0.0
2.0,51.0,5.0,1220.0,77962.0,19051.0,1002.0,,5.0,2020.0,,0.0
2.0,84.0,5.0,1220.0,430841.0,178085.0,5374.5,,5.0,2020.0,,0.0
2.0,98.0,9.0,2010.0,1051933331.0,2736742011.0,30854637.0,,5.0,2020.0,,1.0
